"Feature","X0","X1","MeanDecreaseAccuracy","MeanDecreaseGini"
"Type",3.6476172909122,12.2549231839686,9.7697910478468,9.48695222156341
"Air.temperature..K.",33.1455548759852,57.0412585126796,41.4454908711365,61.2286814182723
"Process.temperature..K.",27.5502209473626,5.0577267553157,29.3312294872584,53.9259132546928
"Rotational.speed..rpm.",27.6560667621338,55.9153832565408,38.2028599321355,81.7065495892258
"Torque..Nm.",20.1322896476492,17.7085927082784,22.6774864441671,92.0219017743272
"Tool.wear..min.",49.9074739307935,62.3224423823736,68.6741740583894,83.5317011700789
"Power",27.6543302686739,49.709484545381,39.6814675091262,129.692923776024
