"Model","Accuracy","Precision","Recall","Specificity","F1","Balanced_Accuracy"
"Logistic Regression",0.97,0.727272727272725,0.32,0.995324675324675,0.444444444444444,0.657662337662338
"Decision Tree",0.9845,0.907407407407407,0.653333333333333,0.997402597402597,0.75968992248062,0.825367965367965
"Random Forest",0.9865,0.961538461538461,0.666666666666667,0.998961038961039,0.78740157480315,0.832813852813853
"SVM",0.9705,0.944444444444449,0.226666666666667,0.99948051948052,0.365591397849462,0.613073593073593
